,user_id,"round(sum(price), 2)",Frequency,Recent_Date
88,596522641,48.2,9,2020-01-04
89,266594430,162.82,26,2020-02-24
90,550397298,29.64,9,2020-01-04
91,406830002,11.41,2,2020-01-04
92,596864372,23.38,4,2020-01-04
93,596907229,34.36,2,2020-01-04
94,531524317,11.57,3,2020-01-04
95,299823890,34.77,12,2020-01-04
96,597170517,67.62,3,2020-01-05
97,450983770,178.53,28,2020-01-06
98,592946788,159.41,9,2020-01-23
99,545154100,28.26,9,2020-01-21
100,587618605,121.68,23,2020-01-15
101,597879644,36.22,9,2020-01-07
102,404821499,44.63,6,2020-01-07
103,592960812,26.98,2,2020-01-07
104,598097574,11.37,4,2020-01-07
105,598005754,45.35,8,2020-01-07
106,597095994,27.02,3,2020-01-07
107,598139708,21.81,5,2020-01-08
108,583711397,20.74,8,2020-01-08
109,555940316,12.97,4,2020-01-08
110,598496768,67.9,20,2020-01-08
111,597544157,40.66,11,2020-01-08
112,471851529,26.99,3,2020-01-09
113,534702469,59.2,9,2020-02-06
114,589935125,30.57,16,2020-01-01
115,557466625,52.94,10,2020-01-03
116,596681545,40.8,3,2020-01-04
117,551224459,34.57,4,2020-01-04
118,597047280,39.04,2,2020-01-05
119,569469916,43.98,4,2020-01-05
120,597063024,15.86,1,2020-01-05
121,597172792,19.21,1,2020-01-05
122,562741584,69.19,18,2020-02-15
123,597251314,45.7,4,2020-01-05
124,597449211,28.48,5,2020-01-06
125,501823157,9.46,10,2020-01-06
126,522775205,92.14,5,2020-01-07
127,586549678,303.84,67,2020-02-07
128,565207080,50.94,4,2020-01-07
129,597870168,25.41,5,2020-02-20
130,518317915,13.66,2,2020-01-07
131,591462188,95.58,38,2020-01-08
132,597740907,81.19,9,2020-01-08
133,486976253,5.71,1,2020-01-08
134,598550789,76.46,6,2020-01-08
135,597488149,146.9,27,2020-02-28
136,598557780,67.97,30,2020-01-08
137,592589187,57.68,6,2020-01-08
138,598214971,23.65,1,2020-01-09
139,511562661,69.61,10,2020-01-09
140,568193227,9.82,2,2020-01-09
141,393517729,344.56,14,2020-01-09
142,598904782,53.95,9,2020-01-09
143,542591237,67.01,38,2020-02-11
144,528541427,85.07,13,2020-02-29
145,535698836,73.59,7,2020-01-09
146,595644414,58.32,3,2020-01-02
147,376975760,44.56,7,2020-02-17
148,587317057,62.86,3,2020-01-02
149,283583881,10.04,5,2020-01-02
150,596045888,21.53,6,2020-01-02
151,492953534,13.63,3,2020-01-02
152,403288877,199.28,41,2020-02-24
153,596181620,10.88,2,2020-01-03
154,593969515,44.29,1,2020-01-03
155,570661177,143.24,3,2020-01-03
156,410074209,118.87,32,2020-02-18
157,438606371,211.43,39,2020-02-21
158,596518202,10.08,4,2020-01-04
159,458306280,101.09,15,2020-02-03
160,594802801,48.81,11,2020-02-09
161,317316664,19.02,5,2020-01-05
162,597173634,20.88,7,2020-01-05
163,387606253,48.89,5,2020-01-19
164,552046678,93.72,30,2020-01-27
165,497992268,78.5,6,2020-01-05
166,572507311,21.27,2,2020-01-06
167,552388351,18.37,4,2020-01-06
168,238449225,15.72,3,2020-01-06
169,597746942,26.97,8,2020-01-07
170,559007000,32.9,19,2020-02-09
171,418127626,52.27,5,2020-02-06
172,423403103,16.99,3,2020-01-07
173,597957254,6.66,2,2020-01-07
174,477374770,50.0,11,2020-02-25
175,584752395,295.73,57,2020-02-08
176,391657776,31.59,3,2020-01-09
177,598326078,189.73,37,2020-01-24
178,448442670,56.31,19,2020-01-09
179,591414274,81.3,15,2020-01-03
180,535950510,32.91,6,2020-01-08
181,595900758,8.57,2,2020-01-02
182,587189915,31.36,5,2020-01-18
183,595969845,40.12,7,2020-01-02
184,248656129,27.8,7,2020-01-03
185,289122000,272.11,55,2020-02-25
186,587210634,45.0,18,2020-01-03
187,596510273,136.6,28,2020-02-29
188,475568506,177.84,45,2020-02-14
189,389829359,39.75,4,2020-01-04
190,591016457,10.79,2,2020-01-04
191,420364238,55.21,16,2020-01-04
192,506775154,36.79,9,2020-01-05
193,500370217,93.22,22,2020-01-29
194,579608382,101.42,28,2020-01-05
195,562312869,31.27,5,2020-01-05
196,461489871,49.72,6,2020-02-09
197,597296144,4.91,4,2020-01-05
198,583057137,369.99,57,2020-02-25
199,597472166,43.0,11,2020-01-06
200,597349148,16.35,2,2020-01-06
201,451662138,9.35,2,2020-01-07
202,557741788,107.83,28,2020-02-20
203,480797733,82.24,28,2020-01-08
204,579117437,16.35,1,2020-01-08
205,446075826,89.7,18,2020-01-28
206,575472277,70.27,9,2020-02-06
207,598664012,5.56,1,2020-01-09
208,598771012,14.84,3,2020-01-09
209,467588393,22.16,6,2020-02-20
210,494147491,301.77,58,2020-02-06
211,565511380,11.19,2,2020-01-09
212,598792899,41.67,12,2020-01-09
213,598987355,5.0,4,2020-01-09
214,460799393,91.86,10,2020-02-25
215,580189695,42.78,8,2020-01-02
216,498331418,24.39,2,2020-01-03
217,444411823,27.07,13,2020-01-03
218,447261102,47.59,19,2020-01-03
219,522097674,9.63,3,2020-01-03
220,586800223,25.58,5,2020-01-04
221,399666297,95.81,28,2020-02-19
222,593897364,9.69,2,2020-01-04
223,500973028,96.49,30,2020-01-04
224,505375158,26.1,12,2020-01-05
225,597251266,6.83,2,2020-01-05
226,495558507,124.71,25,2020-02-28
227,409232794,31.42,2,2020-01-06
228,597892768,103.75,11,2020-01-07
229,532855449,15.72,3,2020-01-07
230,598078423,103.88,15,2020-01-07
231,597610483,51.04,17,2020-01-07
232,559272769,15.78,3,2020-01-08
233,590289380,25.55,5,2020-01-08
234,598346469,23.5,2,2020-01-08
235,375010572,4.76,1,2020-01-08
236,531945117,59.97,12,2020-01-08
237,598719810,47.35,7,2020-01-13
238,526651197,22.13,20,2020-01-09
239,371651449,14.52,5,2020-01-09
240,464274906,22.98,3,2020-01-01
241,571659517,11.01,2,2020-01-01
242,556279004,8.35,5,2020-01-01
243,582588798,55.72,17,2020-01-01
244,295968125,10.76,3,2020-01-02
245,595981743,11.75,1,2020-01-02
246,574046823,14.54,8,2020-01-02
247,54710988,90.78,17,2020-02-15
248,525537771,18.23,2,2020-01-02
249,596254397,6.43,3,2020-01-03
250,595361769,50.47,7,2020-01-03
251,539055482,69.84,3,2020-01-03
252,475720349,128.57,31,2020-02-04
253,578321654,14.13,2,2020-01-03
254,596378798,10.25,3,2020-01-03
255,596370928,46.31,14,2020-01-03
256,595565594,72.5,9,2020-01-03
257,489799707,28.21,8,2020-01-04
258,260860392,93.96,32,2020-01-28
259,544019898,150.5,47,2020-02-13
260,575376793,156.23,40,2020-01-27
261,596825185,37.78,3,2020-01-04
262,596917263,129.69,6,2020-01-04
263,322089934,45.25,18,2020-01-05
264,541203391,13.13,4,2020-01-05
265,588093837,45.86,16,2020-01-05
266,591382284,53.1,17,2020-01-06
267,324008580,39.69,2,2020-01-06
268,597543127,33.91,11,2020-01-06
269,597685681,20.71,2,2020-01-06
270,547536599,13.18,4,2020-01-06
271,414917017,13.49,2,2020-01-06
272,438704320,18.25,1,2020-01-07
273,597848515,7.7,1,2020-01-07
274,381113638,7.3,1,2020-01-08
275,598377614,12.09,4,2020-01-08
276,598355299,164.89,29,2020-02-27
277,557355144,26.04,7,2020-01-08
278,585622124,44.13,5,2020-01-08
279,434687370,23.81,2,2020-01-09
280,584600737,22.94,7,2020-01-09
281,555194861,77.56,21,2020-01-20
282,576657837,39.58,11,2020-01-09
283,597958706,42.03,7,2020-01-09
284,558494456,39.95,4,2020-01-09
285,521065289,22.38,3,2020-01-09
286,344995549,25.72,3,2020-01-01
287,446669218,40.88,5,2020-01-01
288,583542392,48.66,4,2020-01-02
289,234898301,18.58,3,2020-01-02
290,594848540,54.29,1,2020-01-02
291,496294523,11.12,2,2020-01-02
292,583747714,339.41,69,2020-02-25
293,588490203,80.49,10,2020-01-02
294,520094850,47.31,21,2020-01-03
295,575021968,39.89,8,2020-01-03
296,575551796,121.47,44,2020-02-14
297,458899726,65.45,12,2020-02-29
298,596847878,41.41,4,2020-01-04
299,596522546,48.44,15,2020-01-08
300,596918266,94.83,4,2020-01-04
301,596922386,52.06,4,2020-01-04
302,541201554,60.45,5,2020-01-05
303,597455787,16.38,6,2020-01-06
304,523460468,16.74,4,2020-01-07
305,570564034,10.72,2,2020-01-07
306,598092554,20.63,1,2020-01-07
307,572619729,65.54,17,2020-01-08
308,471394234,92.29,11,2020-01-26
309,596522765,45.24,1,2020-01-09
310,598968552,9.41,4,2020-01-09
311,473307140,76.25,18,2020-01-10
312,585484132,19.7,3,2020-01-01
313,564174008,15.13,4,2020-01-01
314,455367769,39.75,10,2020-01-02
315,588414232,40.66,19,2020-01-26
316,487143459,29.52,4,2020-02-10
317,320952510,158.51,41,2020-01-29
318,596425726,12.29,3,2020-01-03
319,596481828,22.76,7,2020-01-03
320,596630954,73.48,22,2020-01-04
321,596921138,146.15,56,2020-01-04
322,596784915,12.0,2,2020-01-05
323,597099327,175.63,20,2020-01-21
324,597325369,59.98,6,2020-01-05
325,296588103,9.46,3,2020-01-06
326,340920615,54.29,1,2020-01-06
327,287267528,12.97,3,2020-01-07
328,565361873,111.09,39,2020-01-08
329,472044899,37.48,8,2020-02-18
330,320452916,58.55,8,2020-01-08
331,598431058,47.33,9,2020-01-08
332,586186719,9.58,4,2020-01-08
333,598611870,41.64,6,2020-01-09
334,562137060,74.6,15,2020-01-09
335,461325289,21.07,6,2020-01-09
336,590729625,13.5,4,2020-01-09
337,598999793,9.2,3,2020-01-09
338,570175797,26.4,4,2020-01-31
339,436468829,24.44,4,2020-01-01
340,414148145,56.9,6,2020-02-10
341,396211438,36.15,7,2020-01-01
342,595721853,9.36,3,2020-01-01
343,556816401,289.97,24,2020-02-19
344,505817063,18.0,6,2020-01-03
345,575270905,18.0,6,2020-01-03
346,593309511,47.69,21,2020-01-03
347,528222163,41.77,11,2020-01-03
348,597118634,12.36,6,2020-01-05
349,597019571,20.78,10,2020-01-05
350,522546683,97.67,28,2020-01-06
351,563501628,1.18,3,2020-01-06
352,402547661,71.03,14,2020-02-07
353,597645113,27.54,2,2020-01-06
354,597701903,40.15,11,2020-01-06
355,597741816,26.18,10,2020-01-07
356,586142544,33.32,5,2020-01-07
357,597164179,226.04,5,2020-01-19
358,460829833,11.79,4,2020-01-07
359,480920489,14.65,7,2020-01-07
360,597532211,25.76,10,2020-01-08
361,598044570,26.64,3,2020-01-08
362,402622550,14.51,1,2020-01-09
363,598702635,22.21,1,2020-01-09
364,588296205,23.84,6,2020-01-09
365,582024089,10.12,2,2020-01-09
366,469605134,109.87,28,2020-02-05
367,460402231,134.89,21,2020-02-07
368,407138054,133.36,32,2020-01-23
369,520046070,10.48,3,2020-01-01
370,449859284,47.62,4,2020-01-02
371,425993437,56.54,10,2020-02-04
372,547995700,44.23,14,2020-01-17
373,381546138,57.37,10,2020-01-02
374,592912415,50.89,12,2020-01-03
375,477998339,102.15,18,2020-01-27
376,596295784,19.87,7,2020-01-03
377,539469141,32.3,6,2020-01-03
378,527093736,407.75,6,2020-02-29
379,408029289,59.65,10,2020-01-04
380,554468653,20.16,4,2020-01-04
381,549003418,66.52,21,2020-02-18
382,555058005,27.7,6,2020-01-04
383,597028812,6.11,1,2020-01-05
384,597074083,49.71,19,2020-01-05
385,543022647,29.96,10,2020-01-05
386,570320203,57.27,18,2020-01-05
387,482050701,23.74,7,2020-01-06
388,568925845,35.71,3,2020-01-06
389,535276900,262.99,8,2020-01-10
390,547341128,37.65,5,2020-01-06
391,572143608,22.91,4,2020-01-06
392,547575499,12.18,6,2020-01-07
393,596184080,20.75,5,2020-01-07
394,529876474,316.87,61,2020-02-28
395,597816185,39.74,7,2020-01-07
396,401505681,99.35,9,2020-01-07
397,598336264,80.64,12,2020-02-04
398,595589635,10.08,3,2020-01-08
399,325489429,12.81,4,2020-01-08
400,440008421,14.3,5,2020-01-08
401,331283989,86.84,24,2020-02-17
402,463651305,28.26,2,2020-01-08
403,562387758,17.71,6,2020-01-08
404,598743820,18.52,4,2020-02-06
405,560119552,9.97,2,2020-01-09
406,518975425,48.39,8,2020-01-09
407,565682731,13.18,3,2020-01-09
408,536486921,53.17,3,2020-01-09
409,490402605,139.05,35,2020-02-26
410,549709168,13.03,14,2020-01-01
411,529429322,58.24,14,2020-01-02
412,464674705,19.36,3,2020-01-03
413,569794131,31.44,6,2020-01-03
414,483599056,51.24,5,2020-01-03
415,407394378,20.48,2,2020-01-03
416,424288202,12.22,6,2020-01-03
417,488513830,278.41,15,2020-02-29
418,388717045,614.84,69,2020-02-21
419,519456367,137.39,13,2020-02-24
420,576512718,334.08,43,2020-02-05
421,461188582,66.43,14,2020-01-25
422,561261751,31.02,4,2020-01-05
423,436678387,26.43,5,2020-01-06
424,411115153,21.42,3,2020-01-06
425,596023027,11.66,2,2020-01-06
426,597745878,24.01,5,2020-01-07
427,597633624,87.22,41,2020-01-11
428,592023945,16.5,3,2020-01-08
429,451129051,199.35,50,2020-02-23
430,598295538,9.63,2,2020-01-08
431,558433830,20.95,5,2020-01-08
432,565280134,48.84,10,2020-01-08
433,598517889,10.44,2,2020-01-08
434,432055161,19.86,7,2020-01-08
435,477109818,28.34,5,2020-01-09
436,598945978,10.14,3,2020-01-09
437,556352887,81.14,16,2020-01-09
438,560164151,109.62,38,2020-02-12
439,450943502,47.58,9,2020-01-23
440,539216862,304.56,91,2020-02-25
441,595608751,36.47,6,2020-01-01
442,595987574,44.99,3,2020-01-02
443,480977653,324.04,101,2020-02-16
444,442396000,269.77,45,2020-02-15
445,596353648,13.49,2,2020-01-03
446,596446004,49.53,3,2020-01-03
447,390703045,32.38,9,2020-01-03
448,596718335,10.66,2,2020-01-04
449,596718908,72.83,11,2020-01-04
450,518534334,77.29,10,2020-01-04
451,596733135,9.85,6,2020-01-04
452,366408404,14.26,3,2020-01-04
453,596693165,29.96,8,2020-01-04
454,400845406,48.9,9,2020-01-13
455,597093765,39.53,12,2020-01-08
456,463671757,165.58,47,2020-01-30
457,597456185,18.04,6,2020-01-06
458,597504817,35.94,10,2020-01-06
459,594495393,55.3,10,2020-01-06
460,596527795,15.4,2,2020-01-06
461,521545724,243.48,16,2020-02-29
462,550276141,29.97,7,2020-01-07
463,592546796,7.86,1,2020-01-06
464,597818537,67.91,15,2020-01-07
465,589833502,37.63,10,2020-01-07
466,598313963,57.34,9,2020-01-08
467,341557108,100.19,20,2020-02-10
468,585960507,30.99,7,2020-01-20
469,598551307,52.75,13,2020-01-08
470,515224320,22.45,2,2020-01-09
471,560379147,49.39,9,2020-01-09
472,557591661,51.05,12,2020-01-22
473,504038018,21.81,7,2020-01-09
474,489130123,256.53,44,2020-02-29
475,432512432,115.07,45,2020-02-24
476,569204492,102.12,8,2020-01-11
477,511081355,18.69,5,2020-01-01
478,593090747,15.34,6,2020-01-01
479,569790578,16.11,3,2020-01-01
480,446284799,50.52,21,2020-01-01
481,546886129,9.96,4,2020-01-01
482,564629879,33.56,7,2020-01-01
483,547862800,149.5,56,2020-02-25
484,596092546,24.48,4,2020-02-15
485,466051755,114.59,36,2020-01-16
486,552564170,177.55,21,2020-01-25
487,492650335,339.99,78,2020-02-25
488,462007757,91.17,15,2020-01-16
489,408035411,30.07,10,2020-01-27
490,451815082,30.89,11,2020-01-04
491,596732622,65.49,22,2020-01-04
492,572120381,23.65,1,2020-01-04
493,546968632,17.71,9,2020-01-04
494,521484087,87.73,30,2020-02-16
495,524495776,21.27,2,2020-01-05
496,597158624,17.57,4,2020-01-05
497,451401730,32.02,7,2020-01-05
498,597392695,72.07,31,2020-01-20
499,511610490,112.46,19,2020-01-10
500,535320733,306.78,56,2020-02-15
501,596869157,32.77,10,2020-01-06
502,584390981,20.95,2,2020-01-07
503,363896093,214.43,26,2020-02-17
504,598307004,16.32,4,2020-01-08
505,598399283,60.68,13,2020-01-08
506,428019259,123.76,21,2020-02-19
507,505129228,11.93,3,2020-01-08
508,570701252,11.21,6,2020-01-08
509,598700812,88.12,22,2020-01-09
510,584788663,24.6,2,2020-01-09
511,568584492,29.6,8,2020-01-09
512,598846734,43.97,6,2020-01-09
513,443956931,106.93,9,2020-01-09
514,567392618,83.09,19,2020-02-26
515,563381118,61.63,10,2020-02-06
516,526291364,54.11,6,2020-02-01
517,595656420,22.94,5,2020-01-01
518,570668440,13.01,4,2020-01-01
519,317195088,19.52,1,2020-01-02
520,543523748,4.41,7,2020-01-03
521,494539592,623.82,161,2020-02-22
522,510913989,38.64,10,2020-02-01
523,330776735,89.05,16,2020-01-22
524,595720066,61.58,7,2020-01-03
525,544472407,2.75,3,2020-01-03
526,567420553,11.86,2,2020-01-04
527,596770247,65.81,12,2020-01-05
528,596803827,18.57,2,2020-01-05
529,596568490,27.93,12,2020-01-27
530,407162165,25.87,8,2020-01-05
531,542066997,42.56,4,2020-01-06
532,589544513,39.68,1,2020-01-06
533,582840423,15.06,4,2020-01-07
534,595752220,42.36,12,2020-01-07
535,557164786,30.12,6,2020-02-26
536,349203496,72.98,19,2020-02-13
537,548763301,82.4,39,2020-02-19
538,598512333,10.48,1,2020-01-08
539,598564019,193.2,45,2020-02-18
540,526984099,74.01,23,2020-02-27
541,447313867,18.65,3,2020-01-09
542,598726635,29.21,2,2020-01-09
543,353924570,11.89,2,2020-01-09
544,543595710,53.52,37,2020-01-01
545,76025480,20.83,8,2020-01-01
546,595686095,12.76,4,2020-01-01
547,471415940,103.03,19,2020-01-22
548,594833615,23.66,7,2020-01-02
549,596107053,15.87,8,2020-01-02
550,596346662,41.52,11,2020-01-03
551,596421117,87.31,6,2020-01-03
552,596477665,194.44,1,2020-01-03
553,545275175,54.93,9,2020-01-04
554,439860095,137.78,32,2020-02-22
555,465389381,26.57,4,2020-01-05
556,538633367,78.54,22,2020-02-10
557,564172485,10.17,3,2020-01-06
558,481168605,66.34,17,2020-01-06
559,515424174,16.93,18,2020-01-06
560,597748871,28.63,10,2020-01-07
561,519754468,122.47,8,2020-01-07
562,565837765,27.7,3,2020-01-07
563,598003172,63.93,29,2020-01-10
564,444400411,14.2,7,2020-01-31
565,598138384,37.62,8,2020-01-07
566,598380599,7.78,1,2020-01-08
567,429032099,24.88,13,2020-01-08
568,529288457,50.64,21,2020-01-08
569,597454109,39.82,7,2020-01-08
570,528430132,1.59,1,2020-01-08
571,592497528,31.95,10,2020-01-08
572,377655890,58.73,8,2020-01-09
573,565059878,60.72,8,2020-01-09
574,544858459,10.27,6,2020-01-09
575,360858285,9.05,2,2020-01-09
576,519746611,147.64,15,2020-01-09
577,387827513,57.16,6,2020-01-09
578,449406448,26.51,3,2020-01-09
579,598737273,115.47,18,2020-02-17
580,541457954,12.97,4,2020-01-09
581,598637409,40.24,38,2020-01-10
582,245202883,145.56,8,2020-01-01
583,565619464,60.84,11,2020-01-02
584,407591551,112.77,14,2020-02-09
585,515197373,23.02,3,2020-01-03
586,581454726,9.9,2,2020-01-03
587,586029382,13.97,2,2020-01-03
588,473682329,179.96,38,2020-02-26
589,564585348,74.98,8,2020-02-14
590,549557457,58.57,9,2020-02-02
591,529568134,40.64,3,2020-01-05
592,526670452,21.58,5,2020-01-05
593,597151149,30.63,4,2020-01-05
594,353644044,927.03,76,2020-02-29
595,548786414,315.58,56,2020-02-12
596,526320209,38.13,4,2020-01-05
597,597329582,7.73,4,2020-01-05
598,597373440,14.11,3,2020-01-06
599,597575591,48.71,9,2020-01-06
600,547343759,12.32,4,2020-01-06
601,597892167,63.89,2,2020-01-07
602,553153595,20.83,8,2020-01-07
603,561432223,55.77,10,2020-02-18
604,540720390,16.02,8,2020-01-08
605,441840150,60.1,9,2020-01-08
606,465777210,252.8,26,2020-02-27
607,400656052,36.75,3,2020-01-08
608,598534984,72.02,15,2020-01-08
609,462184864,13.0,1,2020-01-08
610,563683155,10.95,1,2020-01-09
611,412914342,68.49,10,2020-01-09
612,587840983,204.47,30,2020-02-25
613,388256262,20.71,6,2020-01-09
614,369925412,66.01,10,2020-02-21
615,598660371,67.64,12,2020-01-09
616,598874881,21.69,4,2020-01-09
617,597894231,25.83,15,2020-01-09
618,598872913,20.3,3,2020-01-09
619,453716099,410.08,77,2020-02-24
620,590596119,16.75,4,2020-01-01
621,500148973,154.96,15,2020-02-13
622,524667080,128.28,22,2020-01-02
623,497001728,18.66,4,2020-01-02
624,414518141,82.98,10,2020-01-02
625,449210373,15.64,4,2020-01-02
626,538536440,48.29,12,2020-01-02
627,231690364,141.84,28,2020-02-25
628,588629769,81.07,10,2020-01-06
629,596489297,2.78,1,2020-01-04
630,582447798,19.02,2,2020-01-04
631,567184291,68.98,12,2020-01-04
632,393266736,128.71,33,2020-02-15
633,577730416,9.6,2,2020-01-04
634,538804276,53.98,12,2020-01-05
635,409440199,110.84,17,2020-01-27
636,580124443,17.64,4,2020-01-05
637,580980822,12.3,7,2020-01-05
638,597263704,22.9,5,2020-01-05
639,551040901,44.67,8,2020-01-05
640,567900808,17.29,5,2020-01-19
641,446451189,72.44,6,2020-01-06
642,596420905,48.18,13,2020-01-20
643,597845913,-4.76,8,2020-01-07
644,597919546,38.08,4,2020-01-07
645,597806596,38.9,3,2020-01-07
646,571210722,42.42,4,2020-01-07
647,597922063,37.92,3,2020-01-07
648,598098732,48.45,22,2020-01-07
649,296332559,14.29,2,2020-01-07
650,512207618,57.15,3,2020-01-07
651,506112015,195.01,21,2020-02-07
652,598144030,17.46,1,2020-01-08
653,469912736,20.4,4,2020-01-08
654,459557183,317.01,41,2020-02-07
655,544512140,58.22,5,2020-02-15
656,598880722,1.59,1,2020-01-09
657,588352563,126.53,24,2020-01-27
658,596504604,44.01,12,2020-01-09
659,397622756,67.22,7,2020-01-09
660,555734066,20.11,7,2020-01-01
661,595625892,34.87,20,2020-01-01
662,583351843,37.51,7,2020-01-01
663,592220097,43.64,7,2020-01-02
664,545149980,19.34,6,2020-01-02
665,544275137,122.44,22,2020-01-02
666,441900368,24.61,5,2020-01-03
667,589821633,42.45,20,2020-01-03
668,400062073,10.45,3,2020-01-03
669,304052217,20.19,5,2020-01-03
670,572646115,92.55,7,2020-01-17
671,596883802,28.52,7,2020-01-04
672,465817060,40.0,2,2020-01-05
673,597010518,20.99,13,2020-01-05
674,597077192,46.93,20,2020-01-05
675,419892080,116.15,21,2020-01-28
676,597244377,9.9,2,2020-01-05
677,593910069,24.62,14,2020-01-05
678,597447319,30.63,3,2020-01-06
679,576601643,49.46,16,2020-01-06
680,597780029,41.35,18,2020-01-07
681,585300882,45.22,5,2020-01-07
682,595675480,20.38,7,2020-01-07
683,477219999,24.58,5,2020-01-07
684,487767836,154.55,43,2020-01-25
685,598208464,52.22,1,2020-01-08
686,580273788,79.01,12,2020-01-09
687,554658399,7.69,4,2020-01-08
688,246395310,52.16,7,2020-01-08
689,521677983,96.57,13,2020-02-08
690,520739796,15.06,7,2020-01-09
691,546120591,536.12,43,2020-02-24
692,596646431,11.48,5,2020-01-09
693,598697250,66.27,2,2020-01-10
694,518158934,37.43,5,2020-01-10
695,503004239,109.89,14,2020-02-04
696,276508395,20.0,1,2020-01-01
697,595777472,83.57,17,2020-01-02
698,595970861,39.91,14,2020-02-13
699,558466507,41.46,30,2020-02-05
700,596319150,23.74,2,2020-01-03
701,374985154,17.47,2,2020-01-03
702,573521463,12.93,6,2020-01-03
703,586944373,41.27,4,2020-01-03
704,549855101,13.24,4,2020-01-04
705,596793085,11.27,3,2020-01-04
706,596822105,11.74,2,2020-01-04
707,596869102,37.69,4,2020-01-04
708,555890441,4.58,3,2020-01-04
709,461416616,40.46,5,2020-01-05
710,593838614,52.7,1,2020-01-05
711,426082565,34.29,5,2020-01-05
712,525662231,28.22,5,2020-02-03
713,597558775,6.51,2,2020-01-06
714,468816185,51.32,14,2020-02-15
715,439629113,137.77,11,2020-02-25
716,465525912,77.11,12,2020-01-06
717,554597594,23.02,4,2020-02-02
718,409973853,28.17,6,2020-01-07
719,448011730,50.54,14,2020-01-07
720,325357718,188.22,28,2020-02-19
721,598120793,41.67,8,2020-01-08
722,524707447,231.28,60,2020-02-19
723,598511957,20.16,2,2020-01-08
724,397413822,127.79,16,2020-01-22
725,514024021,119.93,14,2020-02-08
726,596723658,63.42,4,2020-01-09
727,470603328,23.02,8,2020-01-09
728,579711299,249.17,35,2020-01-09
729,512277774,39.16,6,2020-01-29
730,542473740,203.4,6,2020-01-01
731,413778505,186.24,59,2020-01-10
732,443336157,14.51,1,2020-01-01
